#,Name,Message,Event Title,Date,Time,Location
1,Jason,"Hey, are we still meeting for the study sesh this Friday?",Group Study Catch-up,"March 7, 2025",2:00 pm,Library Level 3
2,Priya,Just checking—study group still happening at the library on Friday?,Chem Study Meet,"March 7, 2025",1:30 pm,Science Hub
3,Marcus,Yo what time are we meeting on Friday again?,FYP Progress Meetup,"March 7, 2025",10:00 am,Innovation Lab 2
4,Amanda,I booked a spot in the café for Friday’s brainstorm,Project Jam Session,"March 7, 2025",3:00 pm,BrewPoint Café
5,Sarah,Can we push the meeting to 4pm on Friday? Might have a class spillover,Capstone Sync-Up,"March 7, 2025",4:00 pm,TechBlock 4
6,Leo,"Friday’s meetup is still on, right? Room 302?",Thesis Planning Meet,"March 7, 2025",11:00 am,Humanities Room 302
7,Denise,"Let’s meet in the design studio Friday, same time?",UI/UX Collab Meeting,"March 7, 2025",2:00 pm,Design Studio
8,Tom,We doing the group prep at your place again Friday?,Presentation Rehearsal,"March 7, 2025",6:00 pm,Sarah’s Flat
9,Aisha,Reminder: group meeting Friday in the seminar room!,Ethics Debate Prep,"March 7, 2025",9:30 am,Seminar Room B
10,Ben,"Heads up, I’ll be 10 mins late to Friday’s catch-up",Research Catch-Up,"March 7, 2025",1:00 pm,Café Nexus
11,Emily,Can someone book the media room for Friday?,Video Project Meet,"March 7, 2025",12:00 pm,Media Room 1
12,Harish,Still on for the business plan discussion on Friday?,Startup Brainstorm,"March 7, 2025",5:00 pm,Business Lounge
13,Rachel,Let’s meet earlier on Friday? Like 10 instead of 11?,Interview Prep Group,"March 7, 2025",10:00 am,Career Hub Room 4
14,Victor,We’re good to meet at Starbucks again this Friday?,Case Study Hangout,"March 7, 2025",3:30 pm,Starbucks Library
15,Liyana,"Guys, please come on time Friday. Got loads to cover",Data Analysis Meetup,"March 7, 2025",2:00 pm,Stats Lab
16,Yuki,See you all Friday in the usual spot!,Literature Circle,"March 7, 2025",11:30 am,English Lounge
17,Amir,"Friday meeting moved to 1:30, prof needs the room earlier",AI Lab Session,"March 7, 2025",1:30 pm,AI Lab A
18,Clara,Don’t forget our film project sync this Friday,Film Crew Check-In,"March 7, 2025",12:30 pm,Editing Bay 2
19,Bryan,Just a reminder—meeting in T3.12 on Friday,Engineering Review,"March 7, 2025",10:00 am,T3.12
20,Hana,Can we meet online Friday instead? I might not make it to campus,Remote Check-In,"March 7, 2025",1:00 pm,Zoom
21,Dominic,Let’s finalise the poster designs Friday afternoon,Marketing Team Meetup,"March 7, 2025",3:00 pm,Design Lab
22,Gwen,Bringing snacks to the study sesh Friday lol,Midterm Review,"March 7, 2025",2:30 pm,Library Level 2
23,Faisal,Are laptops needed for Friday’s session?,Code Review Huddle,"March 7, 2025",11:00 am,CompSci Lab 3
24,Alyssa,See y’all Friday for the workshop dry run,Workshop Practice,"March 7, 2025",5:30 pm,Hall B
25,Joel,Friday's room changed to 101A—see you there,Psych Group Discussion,"March 7, 2025",4:00 pm,Room 101A
26,Tania,Is everyone okay with 3pm Friday for the review?,Essay Crit Group,"March 7, 2025",3:00 pm,Lit Lab
27,Max,Dropping a calendar invite for Friday’s sprint review,Agile Team Sync,"March 7, 2025",10:30 am,Project Hub
28,Chloe,Let’s grab coffee after Friday’s session?,Peer Mentoring Meet,"March 7, 2025",9:00 am,Student Centre Café
29,Jay,Anyone bringing printouts for Friday?,Poster Feedback Meet,"March 7, 2025",12:00 pm,Studio Room
30,Isabelle,Just a heads up—I might be a bit late Friday,Script Readthrough,"March 7, 2025",2:00 pm,Drama Room
31,Rafi,Can we make Friday’s meeting a quick one?,Weekly Planning Meet,"March 7, 2025",1:00 pm,Innovation Pod
